datetime,training_data
01/09/22,50
02/09/22,56
03/09/22,58
04/09/22,49
05/09/22,54
06/09/22,56
07/09/22,50
08/09/22,246
09/09/22,57
10/09/22,43
11/09/22,97
12/09/22,147
13/09/22,54
14/09/22,56
15/09/22,77
16/09/22,134
17/09/22,34
18/09/22,47
19/09/22,38
20/09/22,50
21/09/22,55
22/09/22,35
23/09/22,47
24/09/22,54
25/09/22,56
26/09/22,32
